family,n_vars,stage,prefixes,semantic_classes,slw_bits,semantic_rank,accept_prefixes,reject_prefixes,boundary_prefixes,boundary_fraction,future_table_bits,runtime_ms,raw_state_bits,E,R,S,T
random3_n8_s2811,8,0,1,1,0,1,0,0,1,1.0,256,0.49836900006994256,0,0.0,0.0,0.0,1.0
random3_n8_s2811,8,1,2,2,1,2,0,0,2,1.0,256,0.5331810002644488,2,1.0,1.0,2.0,2.0
random3_n8_s2811,8,2,4,3,2,2,0,2,2,0.5,256,0.5153340002834739,8,1.584962500721156,2.0,3.169925001442312,2.321928094887362
random3_n8_s2811,8,3,8,3,2,2,0,6,2,0.25,256,0.5717589997402683,24,1.584962500721156,3.0,3.169925001442312,2.321928094887362
random3_n8_s2811,8,4,16,3,2,2,0,14,2,0.125,256,0.6413040000552428,64,1.584962500721156,4.0,3.169925001442312,2.321928094887362
random3_n8_s2811,8,5,32,3,2,2,0,30,2,0.0625,256,0.5258199998934288,160,1.584962500721156,5.0,3.169925001442312,2.321928094887362
random3_n8_s2811,8,6,64,3,2,2,0,62,2,0.03125,256,0.5548539998017077,384,1.584962500721156,6.0,3.169925001442312,2.321928094887362
random3_n8_s2811,8,7,128,2,1,1,0,126,2,0.015625,256,0.5718089996662457,896,1.0,7.0,2.0,2.0
random3_n8_s2811,8,8,256,2,1,1,2,254,0,0.0,256,0.7376480002676544,2048,1.0,8.0,2.0,1.0
planted3_n8_s3811,8,0,1,1,0,1,0,0,1,1.0,256,0.6116490003478248,0,0.0,0.0,0.0,1.0
planted3_n8_s3811,8,1,2,2,1,1,0,1,1,0.5,256,0.5416829999376205,2,1.0,1.0,2.0,1.584962500721156
planted3_n8_s3811,8,2,4,2,1,1,0,3,1,0.25,256,0.5387589999372722,8,1.0,2.0,2.0,1.584962500721156
planted3_n8_s3811,8,3,8,2,1,1,0,7,1,0.125,256,0.5059609998170345,24,1.0,3.0,2.0,1.584962500721156
planted3_n8_s3811,8,4,16,2,1,1,0,15,1,0.0625,256,0.7224249998216692,64,1.0,4.0,2.0,1.584962500721156
planted3_n8_s3811,8,5,32,2,1,1,0,31,1,0.03125,256,0.5576769999606768,160,1.0,5.0,2.0,1.584962500721156
planted3_n8_s3811,8,6,64,2,1,1,0,62,2,0.03125,256,0.59884999973292,384,1.0,6.0,2.0,2.0
planted3_n8_s3811,8,7,128,2,1,1,0,126,2,0.015625,256,0.6269919999795093,896,1.0,7.0,2.0,2.0
planted3_n8_s3811,8,8,256,2,1,1,2,254,0,0.0,256,0.786610999966797,2048,1.0,8.0,2.0,1.0
random3_n8_s2829,8,0,1,1,0,1,0,0,1,1.0,256,0.5692750000889646,0,0.0,0.0,0.0,1.0
random3_n8_s2829,8,1,2,2,1,2,0,0,2,1.0,256,0.532770000063465,2,1.0,1.0,2.0,2.0
random3_n8_s2829,8,2,4,4,2,3,0,1,3,0.75,256,0.5454399997688597,8,2.0,2.0,4.0,2.807354922057604
random3_n8_s2829,8,3,8,5,3,4,0,4,4,0.5,256,0.5229349999353872,24,2.321928094887362,3.0,4.643856189774724,3.169925001442312
random3_n8_s2829,8,4,16,6,3,4,0,11,5,0.3125,256,0.5694450001101359,64,2.584962500721156,4.0,5.169925001442312,3.4594316186372973
random3_n8_s2829,8,5,32,6,3,4,0,27,5,0.15625,256,0.5322990000422578,160,2.584962500721156,5.0,5.169925001442312,3.4594316186372973
random3_n8_s2829,8,6,64,5,3,3,0,58,6,0.09375,256,0.5615939999188413,384,2.321928094887362,6.0,4.643856189774724,3.4594316186372973
random3_n8_s2829,8,7,128,3,2,2,0,121,7,0.0546875,256,0.5713179998565465,896,1.584962500721156,7.0,3.169925001442312,3.321928094887362
random3_n8_s2829,8,8,256,2,1,1,7,249,0,0.0,256,0.6640679998781707,2048,1.0,8.0,2.0,1.0
planted3_n8_s3829,8,0,1,1,0,1,0,0,1,1.0,256,0.5353440001272247,0,0.0,0.0,0.0,1.0
planted3_n8_s3829,8,1,2,2,1,1,0,1,1,0.5,256,0.5472520001603698,2,1.0,1.0,2.0,1.584962500721156
planted3_n8_s3829,8,2,4,2,1,1,0,3,1,0.25,256,0.5297459997564147,8,1.0,2.0,2.0,1.584962500721156
planted3_n8_s3829,8,3,8,3,2,2,0,6,2,0.25,256,0.5215739997765922,24,1.584962500721156,3.0,3.169925001442312,2.321928094887362
planted3_n8_s3829,8,4,16,4,2,2,0,13,3,0.1875,256,0.5191899999772431,64,2.0,4.0,4.0,2.807354922057604
planted3_n8_s3829,8,5,32,5,3,3,0,27,5,0.15625,256,0.5288339998514857,160,2.321928094887362,5.0,4.643856189774724,3.321928094887362
planted3_n8_s3829,8,6,64,3,2,2,0,58,6,0.09375,256,0.8434769997620606,384,1.584962500721156,6.0,3.169925001442312,3.169925001442312
planted3_n8_s3829,8,7,128,3,2,2,0,122,6,0.046875,256,0.6889950000186218,896,1.584962500721156,7.0,3.169925001442312,3.169925001442312
planted3_n8_s3829,8,8,256,2,1,1,6,250,0,0.0,256,0.7017040002210706,2048,1.0,8.0,2.0,1.0
random3_n8_s2847,8,0,1,1,0,1,0,0,1,1.0,256,0.7011830002738861,0,0.0,0.0,0.0,1.0
